sample	type	colony	Resistance.Mechanism	proportion
AMR9H	before	H	antibiotic target protection	4.141345985
AMR10A	after	I	antibiotic target replacement	1.481839414
AMR1A	after	A	antibiotic target replacement	3.5624242
AMR1H	before	A	antibiotic target replacement	2.019548437
AMR2A	after	B	antibiotic target replacement	0.552448448
AMR3A	after	C	antibiotic target replacement	1.434669352
AMR3H	before	C	antibiotic target replacement	1.898794238
AMR4A	after	D	antibiotic target replacement	2.148716919
AMR5A	after	E	antibiotic target replacement	0.794141599
AMR5H	before	E	antibiotic target replacement	0.528276211
AMR6A	after	F	antibiotic target replacement	1.516509747
AMR7A	after	G	antibiotic target replacement	0.456089004
AMR7H	before	G	antibiotic target replacement	3.289790935
AMR9H	before	H	antibiotic target replacement	0.60256726
AMR10A	after	I	reduced permeability to antibiotic	0.474242301
AMR1A	after	A	reduced permeability to antibiotic	0.833013417
AMR1H	before	A	reduced permeability to antibiotic	0.405802664
AMR2A	after	B	reduced permeability to antibiotic	0.607876939
AMR3A	after	C	reduced permeability to antibiotic	0.29227461
AMR3H	before	C	reduced permeability to antibiotic	1.79673432
AMR4A	after	D	reduced permeability to antibiotic	0.659130087
AMR5A	after	E	reduced permeability to antibiotic	0.501077152
AMR5H	before	E	reduced permeability to antibiotic	0.436810878
AMR6A	after	F	reduced permeability to antibiotic	1.311983314
AMR7A	after	G	reduced permeability to antibiotic	0.256016166
AMR7H	before	G	reduced permeability to antibiotic	0.798108706
AMR9H	before	H	reduced permeability to antibiotic	0.662550647
