""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"
"75"	"CMA beta-lactamase"	403	71	30	85	5	274	10	3	34	15	352	22	54
"76"	"CME beta-lactamase"	131	79	88	138	136	167	148	136	156	107	127	124	208
"77"	"CMH beta-lactamase"	432	128	65	132	63	234	56	32	67	30	204	41	96
"78"	"CMY beta-lactamase"	4022	1797	1139	1984	2164	2936	1232	921	1719	1145	3076	1138	1551
"79"	"CPS beta-lactamase"	378	166	59	150	58	297	78	36	89	18	296	74	49
"80"	"CRD3 beta-lactamase"	503	66	45	114	4	248	23	5	46	32	94	24	74
"81"	"CRH beta-lactamase"	361	105	92	94	81	228	83	32	83	41	196	72	122
"82"	"CRP beta-lactamase"	404	71	45	53	1	176	6	0	12	10	96	16	25
"83"	"CSA beta-lactamase"	935	163	102	219	14	482	24	12	47	48	458	36	142
"84"	"CSP beta-lactamase"	1503	1227	1792	1848	5429	2182	2018	1289	4225	1793	1500	2139	928
"85"	"CTX-M beta-lactamase"	4402	1648	1082	1681	1626	2779	1150	607	1513	1193	2655	1257	1233
"86"	"CVI beta-lactamase"	273	88	71	96	12	268	17	8	28	18	278	28	51
"87"	"CblA beta-lactamase"	327	94	110	123	72	176	105	68	115	144	452	88	158
"88"	"CepA beta-lactamase"	404	104	149	164	128	347	93	71	204	104	308	80	152
"89"	"CepS beta-lactamase"	9	0	0	1	0	10	0	1	11	0	0	1	5
"90"	"CfiA beta-lactamase"	3128	2594	4126	5425	9796	4696	4397	3561	7118	3764	3563	4378	4214
"91"	"Cfr 23S ribosomal RNA methyltransferase"	7113	4648	3638	8108	6971	5992	6945	5212	6383	5886	5175	6662	7246
"92"	"CfxA beta-lactamase"	659	187	172	283	201	474	153	99	184	125	274	126	197
"93"	"CphA beta-lactamase"	792	359	211	331	224	704	163	101	217	174	479	178	216
"94"	"DES beta-lactamase"	723	438	277	660	396	692	680	247	658	745	864	608	569
"95"	"DHA beta-lactamase"	1877	1061	631	1249	1160	1321	1031	656	1159	1095	1501	1041	855
"96"	"DHT2 beta-lactamase"	493	95	107	193	78	396	123	81	164	127	429	115	165
"97"	"DIM beta-lactamase"	307	135	26	175	8	217	12	5	28	11	144	30	49
"98"	"EAM beta-lactamase"	802	207	40	175	5	392	18	5	36	28	288	36	62
"99"	"EBR beta-lactamase"	190	113	73	97	65	168	56	31	60	26	200	32	49
"100"	"EC beta-lactamase"	818	183	83	133	64	453	80	45	82	72	370	107	133
"101"	"ECM beta-lactamase"	188	77	51	58	77	94	45	39	46	45	234	45	38
"102"	"ECV beta-lactamase"	717	262	124	144	198	369	140	63	156	108	361	119	161
"103"	"EFM beta-lactamase"	1545	923	361	905	725	1661	396	600	3373	765	1273	2007	571
"104"	"ELM beta-lactamase"	416	170	60	173	69	199	163	52	127	80	208	116	90
"105"	"ERP beta-lactamase"	107	36	43	108	32	118	50	38	78	48	85	56	75
"106"	"ESP beta-lactamase"	166	158	112	163	214	301	187	100	193	108	197	156	157
"107"	"EVM beta-lactamase"	231	76	54	66	18	215	18	8	19	10	276	37	57
"108"	"EXO beta-lactamase"	693	170	58	116	24	413	35	16	59	45	159	36	50
"109"	"Edeine acetyltransferase"	284	61	110	115	66	266	78	52	56	55	442	60	78
"110"	"Erm 23S ribosomal RNA methyltransferase"	17725	8702	7376	12085	19795	15070	8944	6662	15327	9088	14114	10099	10637
"111"	"Ethambutol resistant iniC"	6	0	0	0	0	0	0	0	0	0	0	4	0
"112"	"FAR beta-lactamase"	493	350	114	334	275	400	348	151	315	202	250	245	352
"113"	"FEZ beta-lactamase"	84	35	21	11	10	96	12	9	23	8	354	23	67
"114"	"FIA beta-lactamase"	404	73	90	163	125	261	141	95	89	105	145	139	107
"115"	"FIM beta-lactamase"	247	102	100	148	120	161	169	93	151	127	105	151	188
"116"	"FONA beta-lactamase"	343	136	127	224	162	219	154	120	129	106	121	131	121
"117"	"FOX beta-lactamase"	1044	255	258	364	219	644	228	121	236	194	401	163	181
"118"	"FPH beta-lactamase"	922	311	120	250	44	509	84	33	87	86	486	97	122
"119"	"FRI beta-lactamase"	452	278	281	393	416	435	335	220	432	357	703	349	388
"120"	"FTU beta-lactamase"	712	955	1906	1009	8547	1094	1188	1176	3138	1081	1028	1356	773
"121"	"Fom phosphotransferase family"	740	222	159	170	41	492	51	32	81	65	720	75	176
"122"	"GES beta-lactamase"	1693	389	211	517	119	950	152	87	212	170	626	219	270
"123"	"GIL beta-lactamase"	319	35	25	74	4	219	7	1	13	14	209	9	35
"124"	"GIM beta-lactamase"	336	50	77	131	68	229	49	14	42	54	370	46	148
"125"	"GMB beta-lactamase"	59	30	34	23	24	69	26	19	20	16	133	33	34
"126"	"GOB beta-lactamase"	2520	1716	1232	2808	2469	2242	2762	1825	2757	2236	2567	2320	2404
"127"	"GPC beta-lactamase"	63	18	9	3	2	88	2	2	6	6	37	10	41
"128"	"GRD23 beta-lactamase"	41	33	9	18	15	73	3	11	21	14	118	18	21
"129"	"GRD33 beta-lactamase"	126	47	21	33	9	75	7	5	9	5	109	5	28
"130"	"General Bacterial Porin with reduced permeability to beta-lactams"	1777	1043	1589	1441	5155	2915	1180	1159	2563	1044	1569	1570	1117
"131"	"General Bacterial Porin with reduced permeability to peptide antibiotics"	1278	514	296	580	382	899	358	235	356	323	596	300	392
"132"	"HERA beta-lactamase"	559	159	124	195	259	408	152	99	270	152	364	132	230
"133"	"HMB beta-lactamase"	362	332	106	151	248	420	132	157	574	156	632	682	156
"134"	"IDC beta-lactamase"	607	226	127	165	108	340	75	52	59	66	811	103	197
"135"	"IMI beta-lactamase"	1838	903	724	1881	1861	1338	1751	997	1651	1208	1291	1312	1260
"136"	"IMP beta-lactamase"	2331	925	816	1070	2002	1751	1110	662	1290	838	1614	848	1083
"137"	"IND beta-lactamase"	1268	434	177	342	98	865	137	40	190	116	785	135	232
"138"	"Intrinsic peptide antibiotic resistant Lps"	1845	565	253	577	93	1128	169	123	222	145	1233	170	330
"139"	"JOHN beta-lactamase"	193	226	128	302	224	203	278	131	297	241	163	202	240
"140"	"KBL beta-lactamase"	150	69	40	60	49	111	50	29	47	48	45	34	27
"141"	"KHM beta-lactamase"	244	52	25	98	8	157	10	6	11	3	70	15	39
"142"	"KLUC beta-lactamase"	36	15	13	4	2	23	9	1	4	3	155	8	33
"143"	"KPC beta-lactamase"	499	143	82	125	38	478	65	38	59	61	236	45	231
"144"	"L1 family beta-lactamase"	271	41	33	37	15	70	20	15	19	27	67	30	62
"145"	"LAP beta-lactamase"	339	90	37	64	17	105	24	8	32	26	358	32	47
"146"	"LCR beta-lactamase"	230	88	14	37	2	110	5	3	7	7	64	6	13
"147"	"LEN beta-lactamase"	326	168	112	217	258	277	217	171	226	201	336	176	266
"148"	"LHK beta-lactamase"	962	367	194	273	135	530	198	91	145	151	594	214	240
"149"	"LMB beta-lactamase"	345	135	135	145	139	299	132	75	196	107	451	94	162
"150"	"LRG beta-lactamase"	456	198	116	264	176	262	200	92	152	185	322	166	174
"151"	"LUS beta-lactamase"	20	13	6	37	5	46	4	0	12	6	40	10	22
"152"	"LUT beta-lactamase"	335	36	36	79	3	196	20	3	19	19	217	8	43
"153"	"Llm 23S ribosomal RNA methyltransferase"	370	86	67	63	29	242	25	17	35	37	153	38	71
"154"	"MAL beta-lactamase"	389	129	67	127	51	263	69	27	94	68	222	71	92
"155"	"MBL beta-lactamase"	263	130	36	35	8	172	8	13	35	35	154	44	68
"156"	"MCR phosphoethanolamine transferase"	6707	2516	1567	3482	2842	4891	2326	1802	2389	1920	4305	1960	2135
"157"	"MIR beta-lactamase"	307	74	100	160	48	208	47	80	77	107	153	47	122
"158"	"MOC beta-lactamase"	259	109	80	116	49	232	94	54	117	83	328	131	164
"159"	"MOX beta-lactamase"	3839	2540	3444	3926	9135	4793	3493	2103	6373	2878	3278	3883	1895
"160"	"MSI beta-lactamase"	562	223	124	171	115	407	136	62	149	126	321	195	126
"161"	"MSI-OXA family beta-lactamase"	364	375	452	468	1580	378	466	374	912	479	540	565	350
"162"	"MUS beta-lactamase"	127	20	46	42	7	74	14	5	20	9	307	23	56
"163"	"MYO beta-lactamase"	153	85	33	105	78	77	47	53	57	51	103	55	50
"164"	"MYX beta-lactamase"	1111	753	1137	1171	1845	1603	1045	559	2273	838	924	1061	600
"165"	"Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins"	10690	4431	4317	5681	8185	9335	4078	2737	6425	3856	9534	4320	5406
"166"	"NDM beta-lactamase"	780	346	414	462	897	672	332	259	581	295	953	332	357
"167"	"NPS beta-lactamase"	83	38	32	67	69	48	55	49	73	36	35	27	31
"168"	"NmcA beta-lactamase"	2371	870	594	978	1342	1986	836	455	1167	743	1198	955	1484
"169"	"OCH beta-lactamase"	804	289	157	193	106	656	58	23	114	99	313	84	133
"170"	"OHIO beta-lactamase"	210	71	35	49	11	112	15	5	15	9	140	16	45
"171"	"OKP beta-lactamase"	1002	270	170	201	232	586	168	66	233	132	472	155	194
"172"	"ORN beta-lactamase"	167	16	24	47	23	191	18	9	27	12	279	22	69
"173"	"ORR beta-lactamase"	421	141	94	96	30	242	43	33	59	67	495	54	91
"174"	"OXA beta-lactamase"	36633	15860	16569	22377	37540	32036	15826	11417	23281	15116	26628	15703	17211
"175"	"OXY beta-lactamase"	1444	891	884	1526	971	1207	1432	815	1211	1563	1406	1242	1200
"176"	"PAC beta-lactamase"	235	124	128	149	141	261	144	119	221	177	281	157	208
"177"	"PAM beta-lactamase"	424	104	90	113	67	295	38	21	66	50	310	61	91
"178"	"PAU beta-lactamase"	388	144	115	172	131	188	125	82	117	112	157	103	147
"179"	"PDC beta-lactamase"	5836	1715	1090	1616	905	3387	1102	552	973	783	2918	790	1265
"180"	"PER beta-lactamase"	2429	1692	3487	2860	11949	4360	2631	2084	5098	2349	2777	2537	2682
"181"	"PFM beta-lactamase"	792	245	165	135	243	467	122	104	183	132	361	101	115
"182"	"PFM-like beta-lactamase"	410	133	93	78	51	226	95	33	84	88	146	61	71
"183"	"PLA beta-lactamase"	121	79	50	55	125	110	93	62	67	46	36	73	96
"184"	"PLN beta-lactamase"	37	39	26	36	34	48	9	19	46	27	123	28	42
"185"	"PME beta-lactamase"	395	168	73	97	2	278	21	13	34	25	325	30	105
"186"	"PNGM beta-lactamase"	231	153	98	163	117	237	182	163	157	181	277	181	221
"187"	"POM beta-lactamase"	335	99	71	98	33	216	35	25	58	62	129	26	61
"188"	"PRC beta-lactamase"	170	46	37	40	31	131	19	9	23	28	117	38	62
"189"	"PST beta-lactamase"	389	64	37	81	32	323	26	16	34	13	130	33	96
"190"	"PSV beta-lactamase"	22	13	20	21	53	48	9	8	32	28	177	18	38
"191"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	2072	627	294	434	163	1133	211	127	281	201	1438	240	547
"192"	"Pyrazinamide resistant pncA"	555	140	64	80	20	258	35	24	34	42	220	42	47
"193"	"R39 beta-lactamase"	387	146	145	222	76	309	141	113	171	152	425	129	177
"194"	"RAHN beta-lactamase"	1223	405	205	429	169	677	229	104	259	202	744	283	250
"195"	"RCP beta-lactamase"	250	41	60	50	9	190	21	8	25	15	193	34	87
"196"	"ROB beta-lactamase"	787	391	303	670	528	684	447	288	588	478	471	510	489
"197"	"RSA beta-lactamase"	333	80	49	43	8	176	33	10	38	23	135	33	76
"198"	"RSA2 beta-lactamase"	331	132	56	87	25	187	43	17	41	25	134	21	94
"199"	"RSD2 beta-lactamase"	698	395	140	277	221	393	196	141	357	266	305	268	218
"200"	"RUB beta-lactamase"	1327	973	1935	1943	5775	2617	1499	1164	2761	1197	1320	1491	1486
"201"	"RbpA bacterial RNA polymerase-binding protein"	34	0	20	12	6	37	11	5	33	2	35	16	12
"202"	"Ribosomal protein mutation conferring resistance to pleuromutilin antibiotics"	17	0	9	5	0	11	0	0	0	2	57	1	10
"203"	"Rm3 family beta-lactamase"	59	13	41	47	28	43	27	22	29	24	109	23	42
"204"	"SCO beta-lactamase"	361	212	221	258	430	319	248	154	325	229	210	241	214
"205"	"SFC beta-lactamase"	121	30	49	23	0	107	4	0	9	10	171	12	21
"206"	"SFH beta-lactamase"	212	98	74	143	128	168	89	48	138	90	119	101	122
"207"	"SFO beta-lactamase"	80	14	64	36	59	102	47	34	60	43	41	47	54
"208"	"SGM beta-lactamase"	1281	723	714	1136	1196	1175	793	539	804	693	1051	585	819
"209"	"SHD beta-lactamase"	423	164	72	143	58	222	63	39	93	89	139	52	97
"210"	"SHN beta-lactamase"	102	50	55	84	67	118	38	42	106	52	59	62	69
"211"	"SHV beta-lactamase"	3876	2290	3264	3181	10602	4763	3294	2466	5244	2781	3392	3380	3134
"212"	"SHW beta-lactamase"	1051	333	256	354	673	756	298	166	413	229	586	262	322
"213"	"SIM beta-lactamase"	66	19	27	55	68	103	35	11	53	30	75	40	45
"214"	"SMB beta-lactamase"	384	124	48	107	21	227	28	21	54	29	233	34	84
"215"	"SME beta-lactamase"	543	208	166	255	297	371	206	131	235	199	200	191	277
"216"	"SPG beta-lactamase"	703	186	81	115	21	491	27	23	44	68	532	35	69
"217"	"SPM beta-lactamase"	211	87	85	103	151	170	108	82	121	76	181	100	124
"218"	"SPN79 beta-lactamase"	409	73	59	32	2	222	21	11	27	17	509	23	65
"219"	"SPR beta-lactamase"	1954	1630	1682	2568	7082	3365	2623	1943	6016	2345	2353	3705	2050
"220"	"SPS beta-lactamase"	677	272	128	270	202	445	195	129	164	151	259	192	195
"221"	"SPU beta-lactamase"	16	10	16	0	20	18	4	10	12	9	69	4	15
"222"	"SRT beta-lactamase"	1307	525	324	605	561	844	385	201	433	422	771	365	431
"223"	"SST beta-lactamase"	449	234	83	143	190	283	267	65	305	174	196	160	103
"224"	"STA beta-lactamase"	199	74	51	89	55	202	57	29	77	40	152	82	66
"225"	"Sed beta-lactamase"	508	188	103	137	173	278	123	71	144	95	265	94	118
"226"	"Subclass B1 Vibrio cholerae varG beta-lactamase"	596	316	194	445	247	508	351	215	280	341	366	273	332
"227"	"TEM beta-lactamase"	2973	969	689	849	638	1762	497	333	668	462	1984	590	673
"228"	"TER beta-lactamase"	752	160	276	239	877	651	106	111	354	105	653	147	116
"229"	"THIN-B beta-lactamase"	344	102	62	98	30	220	41	24	46	35	372	37	66
"230"	"TLA beta-lactamase"	1392	925	703	1266	1785	1225	1408	719	1460	1133	864	1097	1119
"231"	"TMB beta-lactamase"	120	30	18	45	1	90	6	0	7	5	44	14	46
"232"	"TRU beta-lactamase"	662	164	198	306	279	429	248	166	294	214	393	252	348
"233"	"TTU beta-lactamase"	412	51	65	64	6	186	15	3	15	8	169	12	60
"234"	"TUS beta-lactamase"	165	123	38	153	121	111	192	131	180	146	112	141	125
"235"	"Target protecting FusB-type protein conferring resistance to Fusidic acid"	653	376	277	549	659	707	455	261	471	339	715	413	491
"236"	"VAM beta-lactamase"	671	368	255	565	274	533	331	254	371	297	416	273	382
"237"	"VCC beta-lactamase"	602	198	173	488	478	438	387	227	568	341	297	348	408
"238"	"VEB beta-lactamase"	594	352	229	325	485	637	326	211	529	590	449	324	352
"239"	"VHH beta-lactamase"	154	32	19	9	4	85	11	3	5	8	47	9	42
"240"	"VHW beta-lactamase"	111	42	34	64	34	99	40	39	50	62	162	92	123
"241"	"VIM beta-lactamase"	2065	541	449	572	830	1420	371	172	486	412	1470	405	423
"242"	"VMB beta-lactamase"	55	38	13	46	19	79	11	4	34	14	66	14	60
"243"	"Van ligase"	145	46	7	39	12	85	13	5	20	7	121	30	14
"244"	"YEM beta-lactamase"	38	18	25	26	33	38	21	18	33	12	80	17	33
"245"	"YRC Beta-lactamase"	2103	1257	1472	3018	3737	1860	2540	1753	2167	2093	1976	2105	2061
"246"	"ZOG beta-lactamase"	392	123	117	213	123	244	192	68	165	133	412	112	190
"247"	"Zoliflodacin resistant gyrB"	2	0	0	0	0	2	0	5	0	0	15	0	5
"248"	"aminocoumarin resistant gyrB"	2	3	1	8	0	7	0	0	3	1	9	2	2
"249"	"aminosalicylate resistant dihydrofolate synthase"	26	12	0	0	0	2	1	0	0	0	25	2	0
"250"	"aminosalicylate resistant thymidylate synthase"	449	335	258	580	584	457	442	628	535	418	402	470	486
"251"	"amp acetyltransferase"	200	95	158	186	204	158	160	85	123	128	699	163	149
"252"	"ampC-type beta-lactamase"	1217	428	205	414	152	847	143	75	120	103	464	127	315
"253"	"antibiotic resistant fabG"	0	0	0	0	1	0	0	0	4	0	0	0	0
"254"	"antibiotic resistant fabI"	1365	261	120	395	48	756	111	52	97	104	358	118	262
"255"	"antibiotic resistant fusA"	762	93	97	119	3	398	18	9	42	30	479	41	147
"256"	"antibiotic resistant fusE"	0	7	0	3	4	1	0	0	0	2	3	0	1
"257"	"antibiotic resistant gidB"	59	16	27	43	2	29	0	0	12	0	117	6	27
"258"	"antibiotic resistant kasA"	211	50	29	42	0	99	4	2	12	10	81	10	30
"259"	"antibiotic resistant ndh"	604	108	66	97	2	345	43	1	22	30	269	22	77
"260"	"antibiotic resistant nfsA"	0	0	0	0	0	0	0	0	25	0	0	0	0
"261"	"antibiotic-resistant GlpT"	2	0	2	0	1	7	0	0	3	0	0	1	0
"262"	"antibiotic-resistant UhpT"	23	15	2	0	0	26	0	0	5	3	15	9	23
"263"	"antibiotic-resistant isoleucyl-tRNA synthetase (ileS)"	5855	2811	2034	3674	3621	4713	2440	2125	3593	2436	4796	2659	3064
"264"	"antibiotic-resistant murA transferase"	598	122	100	67	27	252	30	34	56	20	572	39	155
"265"	"antibiotic-resistant rpsL"	44	1	4	4	0	20	0	0	1	3	4	0	0
"266"	"blaF family beta-lactamase"	205	18	48	49	1	93	16	0	22	7	177	11	37
"267"	"blaS"	405	226	207	420	467	440	327	307	363	322	241	221	343
"268"	"capreomycin phosphotransferase"	275	203	170	167	540	333	120	110	235	120	219	155	109
"269"	"chloramphenicol acetyltransferase (CAT)"	10662	5945	5452	5985	13937	8421	9159	3136	11871	8719	9190	4966	4824
"270"	"chloramphenicol phosphotransferase"	588	249	163	278	233	421	149	106	182	135	289	147	237
"271"	"class A Bacillus anthracis Bla beta-lactamase"	550	126	58	93	12	384	16	3	39	20	313	36	58
"272"	"class A Bacillus cereus Bc beta-lactamase"	2203	1550	1207	2553	1837	1938	2367	1224	2535	1892	1615	1736	1626
"273"	"class A LRA beta-lactamase"	990	387	185	211	101	697	133	93	126	104	738	113	201
"274"	"class A Mycobacterium abscessus beta-lactamase"	62	25	55	78	102	91	65	43	70	54	217	53	94
"275"	"class A Mycobacterium tuberculosis bla beta-lactamase"	296	97	56	78	23	189	20	26	53	18	206	34	84
"276"	"class C LRA beta-lactamase"	1052	281	150	264	115	586	54	42	102	65	504	107	129
"277"	"class C LRA beta-lactamase; class D LRA beta-lactamase"	818	327	220	246	233	449	197	112	211	241	1015	186	211
"278"	"cpa acetyltransferase"	13	1	11	4	2	33	2	3	14	8	63	1	17
"279"	"dapsone resistant dihydropteroate synthase folP"	0	0	0	0	0	0	0	1	0	0	0	0	0
"280"	"daptomycin resistant cls"	598	164	99	203	78	368	113	33	94	92	249	99	145
"281"	"daptomycin resistant liaF"	0	0	0	0	1	0	0	0	0	0	0	0	0
"282"	"daptomycin resistant liaR"	1	15	0	5	0	2	0	0	1	0	0	2	0
"283"	"daptomycin resistant liaS"	46	27	10	11	0	27	5	1	4	7	127	12	43
"284"	"daptomycin resistant pgsA"	11	4	8	3	0	10	0	0	1	0	63	0	3
"285"	"daptomycin-resistant beta prime subunit of RNA polymerase (rpoC)"	20	31	23	0	1	14	1	1	4	0	358	3	23
"286"	"defensin resistant mprF"	3849	1394	950	1482	1856	2572	1123	710	1253	1008	2834	1070	1449
"287"	"elfamycin resistant EF-Tu"	269	49	84	58	25	251	28	7	35	24	470	39	132
"288"	"ethambutol resistant embA"	0	0	0	0	0	0	0	0	0	0	2	0	0
"289"	"ethambutol resistant embB"	35	21	29	30	82	75	62	25	72	79	34	34	67
